17/03/20 19:49:10 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/20 19:49:11 INFO client.RMProxy: Connecting to ResourceManager at invertedindex-m/10.138.0.4:8032
17/03/20 19:49:12 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/20 19:49:13 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/03/20 19:49:14 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/03/20 19:49:16 INFO input.FileInputFormat: Total input paths to process : 3036
17/03/20 19:49:16 INFO mapreduce.JobSubmitter: number of splits:3036
17/03/20 19:49:16 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490038588730_0003
17/03/20 19:49:17 INFO impl.YarnClientImpl: Submitted application application_1490038588730_0003
17/03/20 19:49:17 INFO mapreduce.Job: The url to track the job: http://invertedindex-m:8088/proxy/application_1490038588730_0003/
17/03/20 19:49:17 INFO mapreduce.Job: Running job: job_1490038588730_0003
17/03/20 19:49:28 INFO mapreduce.Job: Job job_1490038588730_0003 running in uber mode : false
17/03/20 21:34:31 INFO mapreduce.Job:  map 70% reduce 2%
17/03/20 21:36:49 INFO mapreduce.Job:  map 71% reduce 2%
17/03/20 21:39:01 INFO mapreduce.Job:  map 72% reduce 2%
17/03/20 21:41:19 INFO mapreduce.Job:  map 73% reduce 2%
17/03/20 21:43:32 INFO mapreduce.Job:  map 74% reduce 2%
17/03/20 21:45:46 INFO mapreduce.Job:  map 75% reduce 2%
17/03/20 21:48:05 INFO mapreduce.Job:  map 76% reduce 2%
17/03/20 21:50:20 INFO mapreduce.Job:  map 77% reduce 2%
17/03/20 21:52:35 INFO mapreduce.Job:  map 78% reduce 2%
17/03/20 21:54:51 INFO mapreduce.Job:  map 79% reduce 2%
17/03/20 21:57:09 INFO mapreduce.Job:  map 80% reduce 2%
17/03/20 21:59:23 INFO mapreduce.Job:  map 81% reduce 2%
17/03/20 22:01:44 INFO mapreduce.Job:  map 82% reduce 2%
17/03/20 22:03:56 INFO mapreduce.Job:  map 83% reduce 2%
17/03/20 22:06:20 INFO mapreduce.Job:  map 84% reduce 2%
17/03/20 22:08:36 INFO mapreduce.Job:  map 85% reduce 2%
17/03/20 22:10:46 INFO mapreduce.Job:  map 86% reduce 2%
17/03/20 22:13:06 INFO mapreduce.Job:  map 87% reduce 2%
17/03/20 22:15:23 INFO mapreduce.Job:  map 88% reduce 2%
17/03/20 22:17:39 INFO mapreduce.Job:  map 89% reduce 2%
17/03/20 22:19:53 INFO mapreduce.Job:  map 90% reduce 2%
17/03/20 22:21:04 INFO mapreduce.Job:  map 90% reduce 3%
17/03/20 22:22:10 INFO mapreduce.Job:  map 91% reduce 3%
17/03/20 22:24:30 INFO mapreduce.Job:  map 92% reduce 3%
17/03/20 22:26:48 INFO mapreduce.Job:  map 93% reduce 3%
17/03/20 22:29:04 INFO mapreduce.Job:  map 94% reduce 3%
17/03/20 22:31:19 INFO mapreduce.Job:  map 95% reduce 3%
17/03/20 22:33:37 INFO mapreduce.Job:  map 96% reduce 3%
17/03/20 22:35:54 INFO mapreduce.Job:  map 97% reduce 3%
17/03/20 22:38:12 INFO mapreduce.Job:  map 98% reduce 3%
17/03/20 22:40:30 INFO mapreduce.Job:  map 99% reduce 3%
17/03/20 22:42:46 INFO mapreduce.Job:  map 100% reduce 3%
17/03/20 22:43:58 INFO mapreduce.Job:  map 100% reduce 4%
17/03/20 22:44:01 INFO mapreduce.Job:  map 100% reduce 5%
17/03/20 22:44:02 INFO mapreduce.Job:  map 100% reduce 7%
17/03/20 22:44:04 INFO mapreduce.Job:  map 100% reduce 8%
17/03/20 22:44:05 INFO mapreduce.Job:  map 100% reduce 9%
17/03/20 22:44:08 INFO mapreduce.Job:  map 100% reduce 10%
17/03/20 22:44:11 INFO mapreduce.Job:  map 100% reduce 12%
17/03/20 22:44:16 INFO mapreduce.Job:  map 100% reduce 13%
17/03/20 22:44:17 INFO mapreduce.Job:  map 100% reduce 14%
17/03/20 22:44:19 INFO mapreduce.Job:  map 100% reduce 15%
17/03/20 22:44:22 INFO mapreduce.Job:  map 100% reduce 16%
17/03/20 22:44:26 INFO mapreduce.Job:  map 100% reduce 17%
17/03/20 22:44:32 INFO mapreduce.Job:  map 100% reduce 20%
17/03/20 22:44:37 INFO mapreduce.Job:  map 100% reduce 24%
17/03/20 22:44:40 INFO mapreduce.Job:  map 100% reduce 25%
17/03/20 22:44:41 INFO mapreduce.Job:  map 100% reduce 26%
17/03/20 22:44:43 INFO mapreduce.Job:  map 100% reduce 27%
17/03/20 22:44:46 INFO mapreduce.Job:  map 100% reduce 28%
17/03/20 22:44:49 INFO mapreduce.Job:  map 100% reduce 29%
17/03/20 22:44:52 INFO mapreduce.Job:  map 100% reduce 30%
17/03/20 22:44:54 INFO mapreduce.Job:  map 100% reduce 31%
17/03/20 22:44:55 INFO mapreduce.Job:  map 100% reduce 32%
17/03/20 22:45:00 INFO mapreduce.Job:  map 100% reduce 33%
17/03/20 22:45:10 INFO mapreduce.Job:  map 100% reduce 36%
17/03/20 22:45:13 INFO mapreduce.Job:  map 100% reduce 37%
17/03/20 22:45:16 INFO mapreduce.Job:  map 100% reduce 40%
17/03/20 22:45:19 INFO mapreduce.Job:  map 100% reduce 41%
17/03/20 22:45:22 INFO mapreduce.Job:  map 100% reduce 43%
17/03/20 22:45:25 INFO mapreduce.Job:  map 100% reduce 44%
17/03/20 22:45:28 INFO mapreduce.Job:  map 100% reduce 45%
17/03/20 22:45:31 INFO mapreduce.Job:  map 100% reduce 46%
17/03/20 22:45:34 INFO mapreduce.Job:  map 100% reduce 47%
17/03/20 22:45:37 INFO mapreduce.Job:  map 100% reduce 48%
17/03/20 22:45:46 INFO mapreduce.Job:  map 100% reduce 49%
17/03/20 22:45:49 INFO mapreduce.Job:  map 100% reduce 53%
17/03/20 22:45:52 INFO mapreduce.Job:  map 100% reduce 54%
17/03/20 22:45:55 INFO mapreduce.Job:  map 100% reduce 55%
17/03/20 22:45:58 INFO mapreduce.Job:  map 100% reduce 56%
17/03/20 22:46:01 INFO mapreduce.Job:  map 100% reduce 57%
17/03/20 22:46:04 INFO mapreduce.Job:  map 100% reduce 58%
